,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.0,19.8%,73.3%,6.9%,127
1,Phantom,6.3,17.6%,74.7%,7.8%,123
2,Operator,3.1,9.8%,85.9%,4.4%,148
3,Spectre,2.8,15.6%,75.1%,9.3%,96
4,Ghost,2.1,22.1%,71.2%,6.7%,86
5,Odin,1.7,11.6%,70.4%,17.9%,111
6,Sheriff,1.4,23.1%,71.7%,5.2%,105
7,Judge,1.4,14.3%,74.1%,11.6%,93
8,Classic,1.4,18.2%,74%,7.9%,79
9,Bulldog,1.3,15.7%,75%,9.3%,105
10,Frenzy,1.3,19.5%,73.8%,6.7%,83
11,Guardian,1.3,21.6%,73.3%,5.1%,137
12,Ares,1.3,9.8%,73.4%,16.8%,93
13,Marshal,1.2,21.9%,74.2%,3.9%,124
14,Stinger,0.8,20.2%,74%,5.7%,96
15,Shorty,0.8,17.9%,71.9%,10.2%,87
16,Bucky,0.8,18.1%,73.6%,8.2%,82
