,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,18.2,22.8%,71.1%,6.2%,127
1,Phantom,10.8,21.2%,72.5%,6.3%,124
2,Spectre,4.1,17.4%,74.1%,8.6%,92
3,Operator,3.9,8.5%,88%,3.5%,146
4,Ghost,3.2,27.6%,67.5%,4.9%,88
5,Odin,3.1,14.8%,70.1%,15.1%,114
6,Sheriff,2.6,27.1%,68.7%,4.2%,108
7,Classic,2.3,21.6%,73%,5.4%,80
8,Judge,1.7,13.2%,73.2%,13.6%,94
9,Guardian,1.6,28.4%,66.9%,4.7%,138
10,Bulldog,1.5,19.6%,73.7%,6.7%,106
11,Frenzy,1.3,20.3%,74.1%,5.6%,79
12,Marshal,1.3,22.1%,72.6%,5.3%,126
13,Ares,1.3,8.4%,70.1%,21.5%,87
14,Shorty,0.7,13%,74.9%,12.2%,87
15,Bucky,0.6,20.5%,76.9%,2.6%,83
16,Stinger,0.6,21%,73.2%,5.8%,86
