,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.6,21.6%,72.3%,6.2%,129
1,Phantom,7.3,19.4%,73.3%,7.2%,123
2,Operator,3.3,8.6%,88.2%,3.1%,148
3,Spectre,2.9,16.7%,75.4%,8%,93
4,Ghost,2.2,23.4%,71.7%,4.9%,86
5,Odin,2.1,14.3%,65%,20.6%,113
6,Sheriff,1.7,26.8%,67.7%,5.4%,108
7,Judge,1.7,13.1%,75.4%,11.5%,97
8,Guardian,1.5,23.6%,74.4%,2%,136
9,Classic,1.4,21%,73%,6%,80
10,Bulldog,1.3,16.6%,77.2%,6.2%,100
11,Marshal,1.2,23.5%,72.3%,4.2%,123
12,Frenzy,1.1,17%,75.6%,7.3%,80
13,Ares,1.1,8.1%,69.4%,22.5%,90
14,Stinger,0.9,17%,73.1%,10%,88
15,Bucky,0.8,16.5%,77.5%,6%,93
16,Shorty,0.7,15.1%,75.1%,9.8%,89
