,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.0,20.6%,72.8%,6.6%,128
1,Phantom,6.9,18.3%,74.3%,7.4%,122
2,Operator,3.2,10.3%,86.7%,3%,149
3,Spectre,2.8,16.1%,75%,9%,95
4,Odin,2.8,12.4%,70.9%,16.7%,115
5,Ghost,2.2,23.8%,70.9%,5.3%,85
6,Judge,1.6,14.7%,74.3%,11%,97
7,Sheriff,1.5,23.9%,71.9%,4.1%,105
8,Classic,1.5,20.2%,72.8%,7%,78
9,Marshal,1.4,24.4%,70.8%,4.9%,124
10,Bulldog,1.4,17.5%,74.4%,8.2%,112
11,Frenzy,1.3,18.9%,73.6%,7.5%,83
12,Guardian,1.3,23.9%,71.2%,4.9%,136
13,Ares,1.3,8.7%,71.8%,19.4%,90
14,Stinger,0.9,22.8%,69.2%,8%,96
15,Bucky,0.7,11.8%,79.4%,8.8%,86
16,Shorty,0.7,13%,75.1%,11.9%,91
