,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.99,13.6,13.8,4.5,55.8%,16%,195,11.7%,"2,652"
1,Reyna,1.12,16.5,14.8,4.1,51%,15.7%,241,16.2%,"2,601"
2,Jett,1.00,15.4,15.4,3.4,43.2%,13.6%,232,20%,"2,244"
3,Omen,0.89,13.1,14.7,4.4,48.6%,10.8%,191,11.8%,"1,785"
4,Raze,0.97,17.4,17.9,4.9,51.9%,8.3%,243,16.3%,"1,377"
5,Killjoy,0.85,11.3,13.3,4.1,40%,7.7%,193,8.1%,"1,275"
6,Cypher,1.14,16.0,14.0,4.3,68.2%,6.8%,220,14%,"1,122"
7,Skye,0.90,13.2,14.7,4.8,63.6%,3.4%,189,9.7%,561
8,Viper,0.75,12.0,16.0,6.8,20%,3.1%,180,11.7%,510
9,Sova,0.92,14.4,15.6,4.8,20%,3.1%,217,9.7%,510
10,Phoenix,0.93,12.6,13.5,3.9,40%,3.1%,209,17.5%,510
11,Brimstone,1.04,14.6,14.0,6.7,55.6%,2.8%,209,11.5%,459
12,Breach,0.81,12.6,15.5,6.0,25%,2.5%,195,19.8%,408
13,Yoru,0.81,14.6,18.0,3.8,20%,1.5%,193,11%,255
14,Astra,1.25,14.8,11.8,4.6,80%,1.5%,208,8.1%,255
