,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.78,11.7,15.0,4.5,45.5%,17.8%,159,7.5%,"1,683"
1,Viper,0.75,10.4,13.8,4.2,36.4%,11.9%,161,10%,"1,122"
2,Reyna,1.08,16.1,14.9,4.1,42.9%,11.4%,236,17.8%,"1,071"
3,Raze,0.77,11.9,15.5,4.9,36.8%,10.3%,200,15.5%,969
4,Jett,1.04,15.0,14.4,4.7,52.6%,10.3%,204,13%,969
5,Omen,0.83,13.1,15.7,4.8,60%,8.1%,189,14.8%,765
6,Killjoy,1.01,15.8,15.7,4.8,58.3%,6.5%,211,16.4%,612
7,Skye,0.76,10.9,14.3,5.0,62.5%,4.3%,148,3.4%,408
8,Breach,0.78,11.9,15.1,5.6,57.1%,3.8%,174,12%,357
9,Cypher,1.11,17.0,15.3,6.6,71.4%,3.8%,210,9.2%,357
10,Yoru,0.88,12.7,14.3,2.7,33.3%,3.2%,194,19.7%,306
11,Brimstone,0.99,16.8,17.0,7.2,16.7%,3.2%,211,9.9%,306
12,Phoenix,0.92,13.4,14.6,4.8,60%,2.7%,214,19.4%,255
13,Sova,0.67,11.6,17.4,5.8,20%,2.7%,159,10.3%,255
