,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.74,12.1,16.3,5.2,55.6%,15%,169,9.6%,918
1,Reyna,0.97,16.1,16.6,4.5,46.7%,12.5%,213,16.6%,765
2,Omen,0.83,12.1,14.6,3.7,38.5%,10.8%,185,13.4%,663
3,Raze,0.93,15.2,16.4,6.2,46.2%,10.8%,234,14.1%,663
4,Viper,0.92,13.8,15.0,6.2,41.7%,10%,192,12%,612
5,Killjoy,1.18,15.7,13.3,5.8,54.5%,9.2%,226,9.8%,561
6,Jett,1.05,16.1,15.4,4.1,60%,8.3%,246,19.3%,510
7,Yoru,0.94,15.5,16.5,3.8,66.7%,5%,199,10.8%,306
8,Cypher,0.96,15.0,15.7,6.7,33.3%,5%,206,11.1%,306
9,Phoenix,1.08,13.6,12.6,3.6,60%,4.2%,205,8.8%,255
10,Sova,0.63,9.8,15.5,4.5,25%,3.3%,147,17.9%,204
11,Skye,0.84,14.3,17.0,6.0,33.3%,2.5%,180,4.7%,153
12,Brimstone,0.78,16.0,20.5,10.5,50%,1.7%,201,12.5%,102
13,Breach,0.66,10.5,16.0,5.0,0%,1.7%,171,14.3%,102
