,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.85,12.0,14.0,4.0,51.5%,15.2%,177,11.8%,"3,366"
1,Reyna,0.93,14.1,15.2,4.8,50.8%,13.6%,217,16.8%,"3,009"
2,Jett,1.04,15.4,14.8,4.4,49.1%,12.7%,233,17.7%,"2,805"
3,Raze,1.00,16.0,16.0,5.6,53.8%,9%,230,14.3%,"1,989"
4,Killjoy,0.92,12.5,13.6,4.6,50%,8.3%,189,8.9%,"1,836"
5,Sova,0.82,12.2,14.9,5.1,48.3%,6.7%,188,14.1%,"1,479"
6,Omen,1.05,13.5,12.8,4.3,62.5%,5.5%,198,9.6%,"1,224"
7,Brimstone,0.89,13.9,15.7,5.6,34.8%,5.3%,204,14.7%,"1,173"
8,Viper,0.87,12.7,14.6,6.1,59.1%,5.1%,170,7.9%,"1,122"
9,Phoenix,0.91,12.7,13.9,4.1,52.4%,4.8%,203,10.5%,"1,071"
10,Skye,0.80,12.7,15.8,4.4,30%,4.6%,177,11%,"1,020"
11,Cypher,1.01,14.8,14.6,4.6,40%,3.5%,211,11.3%,765
12,Yoru,0.65,11.4,17.7,3.5,16.7%,2.8%,165,10.9%,612
13,Breach,0.81,13.3,16.4,5.1,37.5%,1.8%,187,14.2%,408
14,Astra,1.28,15.0,11.8,4.8,75%,0.9%,211,11.7%,204
