,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,1.07,15.1,14.1,4.7,65.9%,15.7%,214,12%,"2,244"
1,Reyna,1.28,19.7,15.4,4.7,46.5%,15.3%,276,13.2%,"2,193"
2,Jett,1.06,16.6,15.7,3.4,34.3%,12.5%,236,20.2%,"1,785"
3,Raze,1.10,16.3,14.8,5.3,54.5%,11.7%,267,17.6%,"1,683"
4,Omen,0.92,13.3,14.5,5.0,52%,8.9%,198,13.5%,"1,275"
5,Killjoy,0.92,13.1,14.2,3.8,45%,7.1%,182,8.4%,"1,020"
6,Cypher,0.98,14.8,15.1,3.9,53.3%,5.3%,195,9.5%,765
7,Sova,0.93,13.4,14.5,5.6,28.6%,5%,218,9%,714
8,Phoenix,1.40,19.1,13.6,3.5,63.6%,3.9%,275,15.2%,561
9,Skye,0.93,13.6,14.6,4.2,45.5%,3.9%,196,11.3%,561
10,Brimstone,0.86,13.2,15.3,8.2,66.7%,3.2%,187,10.1%,459
11,Viper,1.17,14.5,12.4,5.3,62.5%,2.8%,223,14.7%,408
12,Astra,1.10,16.9,15.3,6.0,57.1%,2.5%,208,11%,357
13,Breach,0.74,12.6,17.0,4.6,20%,1.8%,176,9.5%,255
14,Yoru,1.31,21.0,16.0,6.0,0%,0.4%,247,19%,51
