,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.91,13.1,14.4,4.5,48.5%,20.8%,187,10.2%,"3,366"
1,Reyna,1.03,14.9,14.5,4.6,47.6%,13.2%,231,18.5%,"2,142"
2,Jett,1.00,14.7,14.8,3.9,46.9%,10.1%,222,17.4%,"1,632"
3,Sova,1.00,14.2,14.3,5.4,56.5%,7.2%,218,11.3%,"1,173"
4,Omen,0.91,13.1,14.4,4.0,50%,6.9%,185,13.5%,"1,122"
5,Raze,1.01,14.8,14.7,5.4,59.1%,6.9%,216,13.8%,"1,122"
6,Killjoy,1.01,12.8,12.6,3.3,50%,5.7%,186,9.6%,918
7,Cypher,0.76,11.5,15.2,3.8,27.8%,5.7%,162,7.2%,918
8,Brimstone,0.83,12.4,14.8,6.7,29.4%,5.3%,192,11%,867
9,Phoenix,1.20,18.1,15.1,4.2,41.2%,5.3%,262,15.9%,867
10,Skye,1.16,15.8,13.6,4.3,69.2%,4.1%,219,17%,663
11,Viper,0.90,12.6,13.9,4.7,66.7%,3.8%,187,11.3%,612
12,Yoru,0.90,13.6,15.0,5.0,57.1%,2.2%,209,17.9%,357
13,Breach,0.76,12.0,15.9,4.7,42.9%,2.2%,183,11.9%,357
14,Astra,0.77,12.0,15.5,4.0,50%,0.6%,145,8.3%,102
