,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.17,18.2,15.5,3.9,38.7%,14.8%,255,15.6%,"3,825"
1,Jett,1.17,18.5,15.8,3.7,52.1%,14.4%,259,20.5%,"3,723"
2,Sage,1.06,15.4,14.6,4.7,51.5%,13.4%,213,13%,"3,468"
3,Raze,1.16,17.6,15.2,6.0,62.2%,8.9%,263,17.2%,"2,295"
4,Omen,1.01,15.0,14.9,4.6,43.2%,8.7%,217,11.5%,"2,244"
5,Killjoy,1.19,16.1,13.6,4.0,58.8%,6.7%,233,12.8%,"1,734"
6,Cypher,1.09,15.0,13.8,4.4,40%,5.9%,211,14%,"1,530"
7,Phoenix,1.05,17.2,16.4,4.5,51.9%,5.3%,238,19.8%,"1,377"
8,Viper,1.00,13.4,13.4,5.7,48%,4.9%,206,7.5%,"1,275"
9,Brimstone,0.98,14.9,15.2,7.4,61.9%,4.1%,213,15.1%,"1,071"
10,Sova,1.01,14.2,14.1,5.8,41.2%,3.4%,209,9.9%,867
11,Skye,1.00,15.8,15.9,3.1,40%,3%,216,10.1%,765
12,Breach,0.71,12.4,17.3,4.9,50%,2.8%,178,12.7%,714
13,Yoru,1.07,16.8,15.7,2.8,45.5%,2.2%,238,15.7%,561
14,Astra,0.90,12.8,14.1,6.5,50%,1.6%,188,7.8%,408
