,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.17,18.3,15.6,4.5,53.6%,16.5%,248,15.3%,"5,712"
1,Jett,1.11,17.4,15.7,3.9,48.4%,14%,240,18.5%,"4,845"
2,Sage,1.00,14.0,14.0,4.9,52.9%,12.5%,200,12.4%,"4,335"
3,Raze,1.01,16.2,16.0,5.4,53.6%,10.2%,240,16.9%,"3,519"
4,Omen,0.90,14.1,15.7,4.9,45%,8.8%,196,12.2%,"3,060"
5,Killjoy,1.05,14.7,14.0,4.0,49.1%,8.1%,215,10.7%,"2,805"
6,Cypher,0.99,14.1,14.2,5.0,54.3%,5.2%,191,6.9%,"1,785"
7,Viper,0.96,14.2,14.8,5.7,39.4%,4.9%,206,11.5%,"1,683"
8,Brimstone,0.96,15.5,16.2,6.9,35.7%,4.1%,214,13.3%,"1,428"
9,Sova,0.94,14.1,15.0,6.2,48.1%,4%,201,8.2%,"1,377"
10,Phoenix,1.10,18.5,16.8,5.5,50%,3.8%,252,16.5%,"1,326"
11,Breach,0.78,12.1,15.5,5.2,35.3%,2.5%,191,15.6%,867
12,Skye,1.07,15.4,14.4,3.7,60%,2.2%,210,15.6%,765
13,Yoru,0.83,13.2,15.8,4.2,61.5%,1.9%,184,16.3%,663
14,Astra,1.03,16.8,16.3,5.3,0%,1.2%,217,9.7%,408
