,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,1.09,16.2,14.9,5.2,61.8%,19%,216,13.8%,"1,734"
1,Reyna,1.03,15.7,15.2,4.2,43.3%,16.8%,226,11.5%,"1,530"
2,Raze,0.99,14.5,14.6,4.4,37%,15.1%,240,15.6%,"1,377"
3,Jett,1.43,20.9,14.6,4.3,90%,11.2%,280,23%,"1,020"
4,Killjoy,0.93,13.2,14.2,4.6,50%,10.1%,192,7.1%,918
5,Omen,1.01,13.6,13.5,4.9,54.5%,6.1%,200,10.7%,561
6,Cypher,0.83,14.2,17.1,4.1,40%,5.6%,178,9.2%,510
7,Sova,1.01,16.0,15.9,3.9,12.5%,4.5%,212,5.5%,408
8,Phoenix,1.17,16.6,14.1,4.9,42.9%,3.9%,258,10.3%,357
9,Brimstone,0.75,13.8,18.4,9.6,40%,2.8%,188,14.5%,255
10,Astra,1.29,16.3,12.7,3.3,66.7%,1.7%,215,12.2%,153
11,Skye,1.19,14.3,12.0,5.7,100%,1.7%,213,14%,153
12,Breach,0.73,8.0,11.0,5.5,50%,1.1%,155,12.5%,102
13,Viper,1.07,16.0,15.0,9.0,100%,0.6%,207,12.5%,51
