,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.92,14.4,15.6,5.3,38.7%,18%,199,11%,"1,581"
1,Jett,1.22,17.5,14.3,4.0,65.4%,15.1%,251,21.8%,"1,326"
2,Omen,1.12,16.7,14.8,6.6,63.2%,11%,219,10.1%,969
3,Raze,1.12,17.6,15.8,5.8,66.7%,10.5%,260,15.8%,918
4,Reyna,1.18,18.5,15.8,4.2,70.6%,9.9%,250,16.8%,867
5,Cypher,0.87,13.1,15.1,3.8,50%,9.3%,180,9%,816
6,Skye,0.92,13.2,14.3,4.9,55.6%,5.2%,184,10.1%,459
7,Brimstone,0.82,11.1,13.5,7.6,37.5%,4.7%,179,7.9%,408
8,Killjoy,1.26,19.3,15.3,4.3,42.9%,4.1%,255,9.6%,357
9,Astra,1.20,16.9,14.0,6.6,71.4%,4.1%,216,5.1%,357
10,Viper,1.33,16.3,12.3,3.8,100%,2.3%,200,12.3%,204
11,Phoenix,0.67,11.5,17.3,5.0,25%,2.3%,198,26.1%,204
12,Breach,1.08,18.7,17.3,5.0,33.3%,1.7%,226,5.4%,153
13,Yoru,0.89,12.5,14.0,4.0,100%,1.2%,159,24%,102
14,Sova,0.42,8.0,19.0,5.0,0%,0.6%,144,0%,51
