,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.91,12.3,13.5,4.2,52.5%,16.9%,183,10.6%,"6,120"
1,Reyna,1.07,16.7,15.7,4.2,46.6%,14.5%,238,16.2%,"5,253"
2,Jett,1.01,15.1,15.0,4.2,53.4%,12.4%,227,18.5%,"4,488"
3,Killjoy,0.94,13.7,14.5,4.5,50.8%,8.6%,203,9.2%,"3,111"
4,Raze,0.98,16.3,16.6,5.5,40.4%,8.1%,235,12.9%,"2,907"
5,Sova,0.90,12.3,13.6,5.8,42.3%,7.3%,191,11.1%,"2,652"
6,Omen,1.04,15.4,14.8,5.0,52.1%,6.8%,222,11.1%,"2,448"
7,Cypher,0.96,14.0,14.5,5.1,43.9%,5.8%,199,9.6%,"2,091"
8,Brimstone,1.00,14.5,14.5,6.6,64.5%,4.4%,207,11.1%,"1,581"
9,Phoenix,1.14,16.2,14.3,4.0,56.7%,4.2%,244,16.9%,"1,530"
10,Viper,1.17,15.9,13.5,5.0,57.1%,4%,232,12.8%,"1,428"
11,Skye,0.97,13.9,14.3,3.4,45.5%,3.1%,194,11.1%,"1,122"
12,Yoru,1.28,14.3,11.2,2.5,75%,1.7%,228,11%,612
13,Astra,0.84,12.9,15.4,5.9,37.5%,1.1%,171,11.7%,408
14,Breach,1.21,17.9,14.7,4.6,71.4%,1%,256,16.8%,357
