,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Omen,0.79,11.5,14.5,4.5,0%,13.3%,171,8.7%,102
1,Sage,1.07,15.5,14.5,9.0,100%,13.3%,216,9.7%,102
2,Raze,0.82,14.0,17.0,3.5,50%,13.3%,213,10.7%,102
3,Jett,1.24,21.0,17.0,3.5,100%,13.3%,255,21.4%,102
4,Cypher,0.97,15.0,15.5,5.0,50%,13.3%,225,13.3%,102
5,Skye,1.25,15.0,12.0,3.0,100%,6.7%,218,6.7%,51
6,Killjoy,2.00,16.0,8.0,2.0,100%,6.7%,222,6.3%,51
7,Astra,0.81,13.0,16.0,5.0,0%,6.7%,188,0%,51
8,Reyna,0.80,12.0,15.0,4.0,0%,6.7%,264,33.3%,51
9,Viper,2.13,17.0,8.0,2.0,100%,6.7%,241,5.9%,51
