,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.97,14.0,14.3,4.6,61.9%,17.9%,196,13.7%,"1,071"
1,Reyna,1.15,17.4,15.2,4.3,45%,17.1%,241,14.6%,"1,020"
2,Raze,1.16,19.9,17.2,5.8,66.7%,15.4%,257,17.6%,918
3,Omen,0.94,13.7,14.6,5.6,42.9%,12%,197,9.9%,714
4,Jett,1.17,16.8,14.3,4.6,50%,8.5%,265,19.6%,510
5,Killjoy,1.09,14.0,12.9,3.7,40%,8.5%,201,9.3%,510
6,Cypher,0.66,10.9,16.4,3.4,28.6%,6%,162,6.6%,357
7,Breach,0.82,10.3,12.5,7.0,75%,3.4%,162,14.6%,204
8,Phoenix,0.80,13.3,16.7,9.0,66.7%,2.6%,195,22.5%,153
9,Viper,0.70,10.3,14.7,4.0,33.3%,2.6%,161,6.5%,153
10,Brimstone,0.68,13.7,20.0,11.3,33.3%,2.6%,159,9.8%,153
11,Skye,0.97,14.0,14.5,2.5,100%,1.7%,181,17.9%,102
12,Astra,1.67,25.0,15.0,3.0,100%,0.9%,290,12%,51
13,Yoru,0.47,8.0,17.0,4.0,0%,0.9%,139,25%,51
