,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.93,14.0,15.0,4.6,45.3%,17.6%,192,10.8%,"11,934"
1,Reyna,1.15,17.1,14.9,4.5,53.2%,13%,249,16.4%,"8,823"
2,Jett,1.15,17.7,15.5,4.2,47.8%,12.1%,253,18.4%,"8,211"
3,Omen,1.02,15.9,15.5,4.8,48.1%,10%,217,13.6%,"6,783"
4,Raze,1.01,16.4,16.2,5.7,53%,8.7%,243,14.4%,"5,865"
5,Killjoy,1.02,14.5,14.2,4.2,50.5%,7.3%,207,10.6%,"4,947"
6,Cypher,0.96,13.7,14.3,4.7,54.2%,5.4%,190,11.6%,"3,672"
7,Sova,0.93,13.5,14.5,5.7,49.2%,4.9%,196,11.1%,"3,315"
8,Viper,0.94,14.4,15.3,6.0,42.1%,4.3%,204,11.6%,"2,907"
9,Brimstone,0.97,15.0,15.5,6.8,51.8%,4.2%,212,10.8%,"2,856"
10,Phoenix,1.01,15.5,15.3,4.6,49.1%,4%,232,16.5%,"2,703"
11,Skye,0.88,12.6,14.4,3.5,51.3%,2.9%,181,13%,"1,989"
12,Breach,0.85,14.4,16.9,4.6,37.1%,2.6%,204,16.9%,"1,785"
13,Yoru,0.91,15.1,16.6,3.7,40%,1.9%,205,17.5%,"1,275"
14,Astra,1.13,17.6,15.6,3.9,42.9%,1.1%,229,11%,714
