,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.07,15.6,14.6,3.1,50%,20.8%,233,15.6%,816
1,Sage,1.00,13.7,13.7,4.8,45.5%,14.3%,195,13.2%,561
2,Raze,1.01,16.3,16.2,5.8,60%,13%,235,14.1%,510
3,Jett,1.13,17.9,15.8,3.7,44.4%,11.7%,243,19.9%,459
4,Cypher,0.86,12.6,14.6,4.4,37.5%,10.4%,191,18.8%,408
5,Killjoy,0.97,14.3,14.8,3.9,75%,10.4%,194,14%,408
6,Breach,0.98,16.8,17.2,5.0,20%,6.5%,211,19%,255
7,Omen,0.59,10.7,18.0,7.3,0%,3.9%,148,18.8%,153
8,Viper,0.41,6.0,14.5,2.5,0%,2.6%,123,16.7%,102
9,Astra,1.81,14.5,8.0,5.0,100%,2.6%,208,13.8%,102
10,Brimstone,0.88,15.0,17.0,7.0,0%,1.3%,197,13.3%,51
11,Sova,1.00,14.0,14.0,5.0,0%,1.3%,242,0%,51
12,Skye,0.58,11.0,19.0,4.0,0%,1.3%,132,18.2%,51
